Category,Name
Service Area,All areas
Service Area,Hemet
Service Area,Desert
Marketing Source,Ryan Fewster
Marketing Source,Herald
Marketing Source,NextDoor App
Marketing Source,EDDM
Marketing Source,Magnet/Drive By
Marketing Source,Note Card
Marketing Source,Referral
Marketing Source,Repeat Client
Marketing Source,Home Advisor
Marketing Source,Google
Marketing Source,WASC Web Site
Marketing Source,Thumbtack
Marketing Source,Web Site
Marketing Source,Angi
Marketing Source,Springtime Del Webb
Marketing Source,Yelp
Customer Status,CF
Customer Status,Fill
Customer Status,Moved
Customer Status,OK
Customer Status,Snow Bird
Customer Status,Star
Customer Status,TBD
Customer Status,TXT SENT
Customer Status,WAIT
