id,name,partner_id/id,partner_shipping_id/id,date_order,state,amount_total,note,x_studio_x_studio_job_type,x_studio_lead_source,x_studio_workiz_tech,x_studio_workiz_uuid,order_line/product_id/name,order_line/name,order_line/price_unit,order_line/product_uom_qty
order_G0M90B,3993,client_1784,property_59282090,12/5/2025 14:30,sale,150,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",G0M90B,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_5HPZW2,3988,client_1034,property_11384474,12/2/2025 10:00,sale,60,,Screen(s) - New,Herald,"[{'id': 238856, 'Name': 'Danny Saunders'}]",5HPZW2,Screens - New,,60,1
order_WMKG16,3979,client_1853,property_59069819,12/9/2025 11:30,sale,150,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",WMKG16,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_XKFFOY,3964,client_1838,property_57226393,12/8/2025 8:30,sale,0,,Touch up,Home Advisor,"[{'id': 238856, 'Name': 'Danny Saunders'}]",XKFFOY,Touch Up,Back and side windows after rain,0,1
order_WMZ156,3962,client_1849,property_58509699,11/20/2025 10:30,sale,185,tip 15.00,Windows Inside & Outside Plus Screens,Home Advisor,"[{'id': 75737, 'Name': 'Dan Saunders'}]",WMZ156,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",185,1
order_FRHIN3,3953,client_1356,property_21524373,12/8/2025 10:00,sale,45,,Windows Inside & Outside Plus Screens,Home Advisor,"[{'id': 75737, 'Name': 'Dan Saunders'}]",FRHIN3,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens

Inside Dining and Kitchen
Outside Dining and Kitchen
Garage Door",45,1
order_DF34GC,3933,client_1598,property_36707753,11/14/2025 9:45,sale,180,,Outside Windows and Screens,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",DF34GC,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens

Hand Scrub",180,1
order_Y5X3M9,3932,client_1746,property_46607134,12/3/2025 9:30,sale,220,,Solar Panel Cleaning,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",Y5X3M9,Solar Panel Cleaning - Single Story,,220,1
order_K8ZP12,3931,client_1847,property_58099422,11/12/2025 11:00,sale,225,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",K8ZP12,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",225,1
order_2SK7JX,3930,client_1846,property_58093907,11/12/2025 10:00,sale,110,,Solar Panel Cleaning,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",2SK7JX,Solar Panel Cleaning - Single Story,,5,22
order_4RIAS4,3929,client_1845,property_58075348,11/14/2025 10:30,sale,250,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",4RIAS4,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",175,1
order_4RIAS4,3929,client_1845,property_58075348,11/14/2025 10:30,sale,250,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",4RIAS4,Mirrors Cleaned,please clean the mirrored wardrobes in the two bedrooms and the mirrored wall in the dining room?,25,3
order_HJORU8,3928,client_1272,property_30407966,11/12/2025 8:30,sale,115,,Outside Windows and Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",HJORU8,Outside Windows And Screens,,115,1
order_31HBXQ,3925,client_1841,property_57385552,12/3/2025 14:00,sale,90,,Screen Repair,,"[{'id': 238856, 'Name': 'Danny Saunders'}]",31HBXQ,Screen Repair,,90,1
order_20MBEU,3924,client_1841,property_57385552,10/30/2025 14:00,sale,90,,Screen Repair,,"[{'id': 238856, 'Name': 'Danny Saunders'}]",20MBEU,Screen Repair,Re Mesh Door,90,1
order_CB1TG0,3886,client_1841,property_57385552,10/10/2025 14:00,sale,220,,Windows Inside & Outside Plus Screens,,"[{'id': 75737, 'Name': 'Dan Saunders'}]",CB1TG0,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",220,1
order_8I0ZFL,3885,client_1808,property_52771113,12/2/2025 13:00,sale,175,,Windows Inside & Outside Plus Screens,Home Advisor,"[{'id': 75737, 'Name': 'Dan Saunders'}]",8I0ZFL,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_8I0ZFL,3885,client_1808,property_52771113,12/2/2025 13:00,sale,175,,Windows Inside & Outside Plus Screens,Home Advisor,"[{'id': 75737, 'Name': 'Dan Saunders'}]",8I0ZFL,Tip,,25,1
order_50U4H1,3883,client_1840,property_57362754,11/4/2025 12:00,sale,150,,Windows Inside & Outside Plus Screens,,"[{'id': 75737, 'Name': 'Dan Saunders'}]",50U4H1,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_QXB259,3881,client_1593,property_36163074,10/17/2025 8:00,sale,495,,Windows Inside & Outside Plus Screens,,"[{'id': 75737, 'Name': 'Dan Saunders'}]",QXB259,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",495,1
order_AOZFJF,3867,client_1690,property_42751863,12/9/2025 13:30,sale,170,,Windows Inside & Outside Plus Screens,,"[{'id': 75737, 'Name': 'Dan Saunders'}]",AOZFJF,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_AOZFJF,3867,client_1690,property_42751863,12/9/2025 13:30,sale,170,,Windows Inside & Outside Plus Screens,,"[{'id': 75737, 'Name': 'Dan Saunders'}]",AOZFJF,Tip,,20,1
order_LKLH6D,3865,client_1079,property_12445030,12/9/2025 9:30,sale,275,"20.00 me, 20.00 Danny Holiday Tip",Combination of Services,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",LKLH6D,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_LKLH6D,3865,client_1079,property_12445030,12/9/2025 9:30,sale,275,"20.00 me, 20.00 Danny Holiday Tip",Combination of Services,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",LKLH6D,Solar Panel Cleaning - Single Story,,125,1
order_WQA793,3859,client_1338,property_20309514,9/15/2025 8:30,sale,0,,Quote,,"[{'id': 238856, 'Name': 'Danny Saunders'}]",WQA793,Legacy Service,Legacy Service,0,1
order_MEIKPJ,3851,client_1340,property_20325167,9/30/2025 8:30,sale,150,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",MEIKPJ,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_IOY1F2,3847,client_1584,property_56523997,9/15/2025 9:00,sale,650,,Windows Inside & Outside Plus Screens,,"[{'id': 238856, 'Name': 'Danny Saunders'}, {'id': 75737, 'Name': 'Dan Saunders'}]",IOY1F2,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",650,1
order_RTX9B0,3844,client_1500,property_32579207,11/21/2025 10:00,sale,245,(503) 927-2206 Old number,Windows Inside & Outside Plus Screens,Springtime Del Webb,"[{'id': 75737, 'Name': 'Dan Saunders'}]",RTX9B0,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",245,1
order_IAOKW1,3842,client_1836,property_56305941,9/12/2025 10:30,sale,250,,Windows Inside & Out - No Screens,Angi,"[{'id': 75737, 'Name': 'Dan Saunders'}]",IAOKW1,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",220,1
order_IAOKW1,3842,client_1836,property_56305941,9/12/2025 10:30,sale,250,,Windows Inside & Out - No Screens,Angi,"[{'id': 75737, 'Name': 'Dan Saunders'}]",IAOKW1,Tip,,30,1
order_3J1UO6,3840,client_1837,property_56386340,10/16/2025 12:30,sale,160,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",3J1UO6,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",160,1
order_IJG9Y4,3837,client_1472,property_43837211,11/12/2025 14:30,sale,160,,Combination of Services,Angi,"[{'id': 75737, 'Name': 'Dan Saunders'}]",IJG9Y4,Outside Windows And Screens,,85,1
order_IJG9Y4,3837,client_1472,property_43837211,11/12/2025 14:30,sale,160,,Combination of Services,Angi,"[{'id': 75737, 'Name': 'Dan Saunders'}]",IJG9Y4,Solar Panel Cleaning - Single Story,,75,1
order_J35BWB,3836,client_1598,property_36707753,9/12/2025 8:30,sale,180,,Outside Windows and Screens,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",J35BWB,Outside Windows And Screens,,150,1
order_J35BWB,3836,client_1598,property_36707753,9/12/2025 8:30,sale,180,,Outside Windows and Screens,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",J35BWB,Miscellaneous,Hand Scrub,30,1
order_72J51T,3835,client_1338,property_20309514,9/12/2025 8:30,sale,200,,Solar Panel Cleaning,Home Advisor,"[{'id': 75737, 'Name': 'Dan Saunders'}]",72J51T,Solar Panel Cleaning - Single Story,,200,1
order_3HBBGA,3834,client_1832,property_56056594,9/23/2025 9:30,sale,85,,Outside Windows and Screens,Magnet/Drive By,"[{'id': 75737, 'Name': 'Dan Saunders'}]",3HBBGA,Outside Windows And Screens,,85,1
order_UF2T4N,3832,client_1510,property_32728156,9/3/2025 9:30,sale,130,,Outside Windows and Screens,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",UF2T4N,Outside Windows And Screens,,115,1
order_UF2T4N,3832,client_1510,property_32728156,9/3/2025 9:30,sale,130,,Outside Windows and Screens,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",UF2T4N,Tip,,15,1
order_DB6MBC,3825,client_1665,property_39757668,11/21/2025 8:30,sale,250,,Combination of Services,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",DB6MBC,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",250,1
order_R9MUD3,3818,client_1835,property_56163036,8/26/2025 8:30,sale,75,,Solar Panel Cleaning,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",R9MUD3,Solar Panel Cleaning - First Story,,75,1
order_OZ7T6G,3815,client_1833,property_56056861,8/26/2025 8:00,sale,75,"Voicemail: ""hello Don um Dan I'm sorry Dan Mr Sanders my name is uh Jerome King
 let me get it right Jerome King I live at uh 80060 Bay Hill ab and over here in uh the 4 Seasons and I talked to you before um I like to get my panels clean um I have 12 panels um could you call me and uh give me a quote
 um phone number area code 619-410-9499 again my name is Jerome King
 thank you sir have a great day bye
""",Solar Panel Cleaning,,"[{'id': 75737, 'Name': 'Dan Saunders'}]",OZ7T6G,Solar Panel Cleaning - Single Story,,75,1
order_CQQ6I0,3814,client_1832,property_56056594,8/19/2025 8:00,sale,90,Schedule him for mid-september for outside. Only windows also send Before & After pictures of the solars.,Solar Panel Cleaning,Magnet/Drive By,"[{'id': 75737, 'Name': 'Dan Saunders'}]",CQQ6I0,Solar Panel Cleaning - Single Story,,5,18
order_NP8ZYH,3813,client_1831,property_55977031,8/18/2025 8:00,sale,120,,Solar Panel Cleaning,Thumbtack,"[{'id': 75737, 'Name': 'Dan Saunders'}]",NP8ZYH,Solar Panel Cleaning - Single Story,,5,24
order_P8BQHJ,3812,client_1031,property_35170549,12/9/2025 12:30,sale,100,,Windows Inside & Outside Plus Screens,Ryan Fewster,"[{'id': 75737, 'Name': 'Dan Saunders'}]",P8BQHJ,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",100,1
order_Z0TEWP,3811,client_1684,property_41763151,11/11/2025 14:00,sale,150,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",Z0TEWP,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",150,1
order_6MDZIB,3810,client_1044,property_11384484,11/11/2025 12:00,sale,165,,Windows Inside & Outside Plus Screens,EDDM,"[{'id': 75737, 'Name': 'Dan Saunders'}]",6MDZIB,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",165,1
order_1O1QUG,3807,client_1043,property_11384483,10/28/2025 10:30,sale,65,,Outside Windows and Screens,Repeat Client,"[{'id': 75737, 'Name': 'Dan Saunders'}]",1O1QUG,Outside Windows And Screens,,65,1
order_P88EGA,3799,client_1830,property_55842651,8/15/2025 8:00,sale,310,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",P88EGA,Windows In & Out - Full Service,"Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",300,1
order_P88EGA,3799,client_1830,property_55842651,8/15/2025 8:00,sale,310,,Windows Inside & Outside Plus Screens,Referral,"[{'id': 75737, 'Name': 'Dan Saunders'}]",P88EGA,Tip,,10,1
