id,Name,Description,Price,Cost,Type,Category,"Model #",Brand,Booking,Inventory,Taxable
1003,Sales,,0.00,0.00,service,,,,0,0,0
1000,"Outside Windows And Screens",,65.00,0.00,service,,,,0,0,0
1001,"Windows In & Out - Full Service","Includes: Inside - Vacuuming tracks on the inside, clean windows
                 Outside - Brush Tracks & Frames, clean windows, dry brush screens",100.00,0.00,service,,,,0,0,0
1002,"Pressure Wash",,100.00,0.00,service,,,,0,0,0
1004,"Clean Gutters","Inspect and Clean Gutters",100.00,0.00,service,,,,0,0,0
1005,Tip,,10.00,0.00,service,,,,0,0,0
1006,"Garage Door Windows Cleaned - No Cut Outs",,10.00,0.00,service,,,,0,0,0
1007,"Ceiling Fans Cleaned",,5.00,0.00,service,,,,0,0,0
1008,"Install Downspout",,200.00,0.00,service,,,,0,0,0
1009,"Solar Panel Cleaning - Single Story",,6.00,0.00,service,,,,0,0,0
1010,"Mirrors Cleaned",,10.00,0.00,service,,,,0,0,0
1011,"WD-40 Tracks",,75.00,0.00,service,,,,0,0,0
1013,"Per Window Price","Includes clean windows inside and out, vacuum tracks, dry brush screens",10.00,0.00,service,,,,0,0,0
1014,"Per Pane Price",,2.00,0.00,service,,,,0,0,0
1015,"Wet Brush Screen",,4.00,0.00,service,,,,0,0,0
1016,"Clean Tracks",,3.00,0.00,service,,,,0,0,0
1017,Discount,"15% Discount",'-15.00,0.00,service,,,,0,0,0
1018,"Install Gutter Guard",,150.00,0.00,service,,,,0,0,0
1019,"XERO PURE Screen Clean","XERO PURE Screen Cleaning system uses state of the art technology to gently & thoroughly clean your screens & frames.  The long, soft bristles & secure cleaning base allows your technician to clean more extensively while giving even more care to your screen frames.",45.00,0.00,service,,,,0,0,1
1020,"Lights And Ceiling Fan Cleaned",,90.00,0.00,service,,,,0,0,0
1021,"Re-Seal Concrete","Includes sealer material",100.00,0.00,service,,,,0,0,0
1022,"Gutter Inspection","Inspect Gutter",50.00,0.00,service,,,,0,0,0
1023,"Clean Blinds",,20.00,0.00,service,,,,0,0,0
1024,"Move Furniture","Includes Moving all furniture in Sun Room.",0.00,0.00,service,,,,0,0,0
1012,"Repair Roof Tile(s)",,50.00,0.00,service,,,,0,0,0
1025,"Single Story Window Panes - Outside Only",,2.50,0.00,service,,,,0,0,0
1026,"Single Story Window Panes - Inside & Outside",,5.00,0.00,service,,,,0,0,0
1027,"Vacuum Tracks - Per Track",,1.00,0.00,service,,,,0,0,0
1029,"Garage Door Windows Cleaned - Cut Outs",,20.00,0.00,service,,,,0,0,0
1030,"Second Story Window Panes - Outside Only",,3.00,0.00,service,,,,0,0,0
1031,"Second Story Window Panes - Inside & Outside",,6.00,0.00,service,,,,0,0,0
1032,"Solar Panel Cleaning - Second Story",,7.00,0.00,service,,,,0,0,0
1033,"CARE® Program Discount",,'-10.00,0.00,service,,,,0,0,0
1034,"Glass Sliding Doors - Outside Only",,8.00,0.00,service,,,,0,0,0
1035,"Glass Sliding Doors - Inside & Outside",,15.00,0.00,service,,,,0,0,0
1036,"Screen Repair",,25.00,0.00,service,,,,0,0,0
1037,"Gutter Foam Install","Install Foam insert to stop debris from getting into the enclosed Allumiwood Gutter. Labor and Material.",99.00,0.00,service,,,,0,0,0
1038,"Clean Up Yard","Pickup and Bag all the leaves on the property",85.00,0.00,service,,,,0,0,0
1039,"Screens - New",,49.00,0.00,service,,,,0,0,0
1040,"Allumawood Patio Cover - Gutter Clean","Enclosed Gutter - clean and remove all debris from rooftop",275.00,0.00,service,,,,0,0,0
