"Field Name","Field Label","Model","Field Type","Type","Indexed","Stored","Readonly","Related Model"
"account_move_count","Account Move Count","Contact","integer","Base Field","","","True",""
"account_represented_company_ids","Account Represented Company","Contact","one2many","Base Field","","True","","res.company"
"active","Active","Contact","boolean","Base Field","","True","",""
"active_lang_count","Active Lang Count","Contact","integer","Base Field","","","True",""
"activity_calendar_event_id","Next Activity Calendar Event","Contact","many2one","Base Field","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Contact","date","Base Field","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Contact","selection","Base Field","","","True",""
"activity_exception_icon","Icon","Contact","char","Base Field","","","True",""
"activity_ids","Activities","Contact","one2many","Base Field","","True","","mail.activity"
"activity_state","Activity State","Contact","selection","Base Field","","","True",""
"activity_summary","Next Activity Summary","Contact","char","Base Field","","","",""
"activity_type_icon","Activity Type Icon","Contact","char","Base Field","","","True",""
"activity_type_id","Next Activity Type","Contact","many2one","Base Field","","","","mail.activity.type"
"activity_user_id","Responsible User","Contact","many2one","Base Field","","","True","res.users"
"agent_ids","Agent","Contact","one2many","Base Field","","True","","ai.agent"
"application_statistics","Stats","Contact","json","Base Field","","","True",""
"autopost_bills","Auto-post bills","Contact","selection","Base Field","","True","",""
"available_invoice_template_pdf_report_ids","Available Invoice Template Pdf Report","Contact","one2many","Base Field","","","True","ir.actions.report"
"available_peppol_eas","Available Peppol Eas","Contact","json","Base Field","","","True",""
"avalara_exemption_id","Avalara Exemption","Contact","many2one","Base Field","True","True","","avatax.exemption"
"avalara_partner_code","Avalara Partner Code","Contact","char","Base Field","","True","",""
"avalara_show_address_validation","Avalara Show Address Validation","Contact","boolean","Base Field","","","True",""
"avatar_1024","Avatar 1024","Contact","binary","Base Field","","","True",""
"avatar_128","Avatar 128","Contact","binary","Base Field","","","True",""
"avatar_1920","Avatar","Contact","binary","Base Field","","","True",""
"avatar_256","Avatar 256","Contact","binary","Base Field","","","True",""
"avatar_512","Avatar 512","Contact","binary","Base Field","","","True",""
"avatax_unique_code","Avalara Code","Contact","char","Base Field","","","True",""
"bank_account_count","Bank","Contact","integer","Base Field","","","True",""
"bank_ids","Banks","Contact","one2many","Base Field","","True","","res.partner.bank"
"barcode","Barcode","Contact","char","Base Field","True","True","",""
"box_1099_id","1099 Box","Contact","many2one","Base Field","","True","","l10n_us.1099_box"
"calendar_last_notif_ack","Last notification marked as read from base Calendar","Contact","datetime","Base Field","","True","",""
"can_publish","Can Publish","Contact","boolean","Base Field","","","True",""
"category_id","Tags","Contact","many2many","Base Field","","True","","res.partner.category"
"channel_ids","Channels","Contact","many2many","Base Field","","True","","discuss.channel"
"channel_member_ids","Channel Member","Contact","one2many","Base Field","","True","","discuss.channel.member"
"child_ids","Contact","Contact","one2many","Base Field","","True","","res.partner"
"city","City","Contact","char","Base Field","","True","",""
"color","Color Index","Contact","integer","Base Field","","True","",""
"comment","Notes","Contact","html","Base Field","","True","",""
"commercial_company_name","Company Name Entity","Contact","char","Base Field","","True","True",""
"commercial_partner_id","Commercial Entity","Contact","many2one","Base Field","True","True","True","res.partner"
"company_id","Company","Contact","many2one","Base Field","True","True","","res.company"
"company_name","Company Name","Contact","char","Base Field","","True","",""
"company_registry","Company ID","Contact","char","Base Field","True","True","",""
"company_registry_label","Company ID Label","Contact","char","Base Field","","","True",""
"company_registry_placeholder","Company Registry Placeholder","Contact","char","Base Field","","","True",""
"company_type","Company Type","Contact","selection","Base Field","","","",""
"complete_name","Complete Name","Contact","char","Base Field","True","True","True",""
"contact_address","Complete Address","Contact","char","Base Field","","","True",""
"contact_address_complete","Contact Address Complete","Contact","char","Base Field","","True","True",""
"contact_address_inline","Inlined Complete Address","Contact","char","Base Field","","","True",""
"contract_ids","Partner Contracts","Contact","one2many","Base Field","","True","True","account.analytic.account"
"country_code","Country Code","Contact","char","Base Field","","","True",""
"country_id","Country","Contact","many2one","Base Field","","True","","res.country"
"create_date","Created on","Contact","datetime","Base Field","","True","True",""
"create_uid","Created by","Contact","many2one","Base Field","","True","True","res.users"
"credit","Total Receivable","Contact","monetary","Base Field","","","True",""
"credit_limit","Credit Limit","Contact","float","Base Field","True","True","",""
"credit_to_invoice","Credit To Invoice","Contact","monetary","Base Field","","","True",""
"currency_id","Currency","Contact","many2one","Base Field","","","True","res.currency"
"customer_rank","Customer Rank","Contact","integer","Base Field","","True","",""
"days_sales_outstanding","Days Sales Outstanding (DSO)","Contact","float","Base Field","","","True",""
"debit","Total Payable","Contact","monetary","Base Field","","","True",""
"display_invoice_edi_format","Display Invoice Edi Format","Contact","boolean","Base Field","","","",""
"display_invoice_template_pdf_report_id","Display Invoice Template Pdf Report","Contact","boolean","Base Field","","","",""
"display_name","Display Name","Contact","char","Base Field","","","True",""
"duplicate_bank_partner_ids","Duplicate Bank Partner","Contact","many2many","Base Field","","","True","res.partner"
"email","Email","Contact","char","Base Field","","True","",""
"email_formatted","Formatted Email","Contact","char","Base Field","","","True",""
"email_normalized","Normalized Email","Contact","char","Base Field","","True","True",""
"employee","Employee","Contact","boolean","Base Field","","True","",""
"fiscal_country_codes","Fiscal Country Codes","Contact","char","Base Field","","","True",""
"fiscal_country_group_codes","Fiscal Country Group Codes","Contact","json","Base Field","","","True",""
"followup_line_id","Follow-up Level","Contact","many2one","Base Field","","","","account_followup.followup.line"
"followup_next_action_date","Next reminder","Contact","date","Base Field","True","True","",""
"followup_reminder_type","Reminders","Contact","selection","Base Field","","True","",""
"followup_responsible_id","Responsible","Contact","many2one","Base Field","True","True","","res.users"
"followup_status","Follow-up Status","Contact","selection","Base Field","","","True",""
"function","Job Position","Contact","char","Base Field","","True","",""
"has_message","Has Message","Contact","boolean","Base Field","","","True",""
"has_moves","Has Moves","Contact","boolean","Base Field","","","True",""
"id","ID","Contact","integer","Base Field","","True","True",""
"ignore_abnormal_invoice_amount","Ignore Abnormal Invoice Amount","Contact","boolean","Base Field","True","True","",""
"ignore_abnormal_invoice_date","Ignore Abnormal Invoice Date","Contact","boolean","Base Field","True","True","",""
"im_status","IM Status","Contact","char","Base Field","","","True",""
"image_1024","Image 1024","Contact","binary","Base Field","","True","True",""
"image_128","Image 128","Contact","binary","Base Field","","True","True",""
"image_1920","Image","Contact","binary","Base Field","","True","",""
"image_256","Image 256","Contact","binary","Base Field","","True","True",""
"image_512","Image 512","Contact","binary","Base Field","","True","True",""
"image_medium","Medium-sized image","Contact","binary","Base Field","","","True",""
"industry_id","Industry","Contact","many2one","Base Field","","True","","res.partner.industry"
"invoice_edi_format","eInvoice format","Contact","selection","Base Field","","","",""
"invoice_edi_format_store","Invoice Edi Format Store","Contact","char","Base Field","True","True","",""
"invoice_ids","Invoices","Contact","one2many","Base Field","","True","True","account.move"
"invoice_sending_method","Invoice sending","Contact","selection","Base Field","True","True","",""
"invoice_template_pdf_report_id","Invoice report","Contact","many2one","Base Field","","True","","ir.actions.report"
"is_blacklisted","Blacklist","Contact","boolean","Base Field","","","True",""
"is_company","Is a Company","Contact","boolean","Base Field","","True","",""
"is_created_by_ocr","Is Created By Ocr","Contact","boolean","Base Field","","True","",""
"is_in_call","Is In Call","Contact","boolean","Base Field","","","True",""
"is_peppol_edi_format","Is Peppol Edi Format","Contact","boolean","Base Field","","","True",""
"is_public","Is Public","Contact","boolean","Base Field","","","True",""
"is_published","Is Published","Contact","boolean","Base Field","True","True","",""
"is_ubl_format","Is Ubl Format","Contact","boolean","Base Field","","","True",""
"lang","Language","Contact","selection","Base Field","","True","",""
"main_user_id","Main User","Contact","many2one","Base Field","","","True","res.users"
"meeting_count","# Meetings","Contact","integer","Base Field","","","True",""
"meeting_ids","Meetings","Contact","many2many","Base Field","","True","","calendar.event"
"message_attachment_count","Attachment Count","Contact","integer","Base Field","","","True",""
"message_bounce","Bounce","Contact","integer","Base Field","","True","",""
"message_follower_ids","Followers","Contact","one2many","Base Field","","True","","mail.followers"
"message_has_error","Message Delivery error","Contact","boolean","Base Field","","","True",""
"message_has_error_counter","Number of errors","Contact","integer","Base Field","","","True",""
"message_has_sms_error","SMS Delivery error","Contact","boolean","Base Field","","","True",""
"message_ids","Messages","Contact","one2many","Base Field","","True","","mail.message"
"message_is_follower","Is Follower","Contact","boolean","Base Field","","","True",""
"message_needaction","Action Needed","Contact","boolean","Base Field","","","True",""
"message_needaction_counter","Number of Actions","Contact","integer","Base Field","","","True",""
"message_partner_ids","Followers (Partners)","Contact","many2many","Base Field","","","","res.partner"
"my_activity_date_deadline","My Activity Deadline","Contact","date","Base Field","","","True",""
"name","Name","Contact","char","Base Field","True","True","",""
"ocn_token","OCN Token","Contact","char","Base Field","","True","True",""
"offline_since","Offline since","Contact","datetime","Base Field","","","True",""
"online_partner_information","Online Partner Information","Contact","char","Base Field","","True","True",""
"opportunity_count","Opportunity Count","Contact","integer","Base Field","","","True",""
"opportunity_ids","Opportunities","Contact","one2many","Base Field","","True","","crm.lead"
