"Field Name","Field Label","Model","Field Type","Type","Indexed","Stored","Readonly","Related Model"
"access_token","Security Token","Sales Order","char","Base Field","","True","",""
"access_url","Portal Access URL","Sales Order","char","Base Field","","","True",""
"access_warning","Access warning","Sales Order","text","Base Field","","","True",""
"activity_calendar_event_id","Next Activity Calendar Event","Sales Order","many2one","Base Field","","","True","calendar.event"
"activity_date_deadline","Next Activity Deadline","Sales Order","date","Base Field","","","True",""
"activity_exception_decoration","Activity Exception Decoration","Sales Order","selection","Base Field","","","True",""
"activity_exception_icon","Icon","Sales Order","char","Base Field","","","True",""
"activity_ids","Activities","Sales Order","one2many","Base Field","","True","","mail.activity"
"activity_state","Activity State","Sales Order","selection","Base Field","","","True",""
"activity_summary","Next Activity Summary","Sales Order","char","Base Field","","","",""
"activity_type_icon","Activity Type Icon","Sales Order","char","Base Field","","","True",""
"activity_type_id","Next Activity Type","Sales Order","many2one","Base Field","","","","mail.activity.type"
"activity_user_id","Responsible User","Sales Order","many2one","Base Field","","","True","res.users"
"amount_invoiced","Already invoiced","Sales Order","monetary","Base Field","","","True",""
"amount_paid","Payment Transactions Amount","Sales Order","float","Base Field","","","True",""
"amount_tax","Taxes","Sales Order","monetary","Base Field","","True","True",""
"amount_to_invoice","Un-invoiced Balance","Sales Order","monetary","Base Field","","","True",""
"amount_total","Total","Sales Order","monetary","Base Field","","True","True",""
"amount_undiscounted","Amount Before Discount","Sales Order","float","Base Field","","","True",""
"amount_untaxed","Untaxed Amount","Sales Order","monetary","Base Field","","True","True",""
"authorized_transaction_ids","Authorized Transactions","Sales Order","many2many","Base Field","","","True","payment.transaction"
"available_quotation_document_ids","Available Quotation Documents","Sales Order","many2many","Base Field","","","True","quotation.document"
"avatax_unique_code","Avalara Code","Sales Order","char","Base Field","","","True",""
"campaign_id","Campaign","Sales Order","many2one","Base Field","True","True","","utm.campaign"
"client_order_ref","Customer Reference","Sales Order","char","Base Field","","True","",""
"commitment_date","Delivery Date","Sales Order","datetime","Base Field","","True","",""
"company_id","Company","Sales Order","many2one","Base Field","True","True","","res.company"
"company_price_include","Default Sales Price Include","Sales Order","selection","Base Field","","","True",""
"country_code","Country code","Sales Order","char","Base Field","","","True",""
"create_date","Creation Date","Sales Order","datetime","Base Field","True","True","True",""
"create_uid","Created by","Sales Order","many2one","Base Field","","True","True","res.users"
"currency_id","Currency","Sales Order","many2one","Base Field","","True","True","res.currency"
"currency_rate","Currency Rate","Sales Order","float","Base Field","","True","True",""
"customizable_pdf_form_fields","Customizable PDF Form Fields","Sales Order","json","Base Field","","True","",""
"date_order","Order Date","Sales Order","datetime","Base Field","","True","",""
"display_name","Display Name","Sales Order","char","Base Field","","","True",""
"duplicated_order_ids","Duplicated Order","Sales Order","many2many","Base Field","","","True","sale.order"
"expected_date","Expected Date","Sales Order","datetime","Base Field","","","True",""
"fiscal_position_id","Fiscal Position","Sales Order","many2one","Base Field","","True","","account.fiscal.position"
"has_active_pricelist","Has Active Pricelist","Sales Order","boolean","Base Field","","","True",""
"has_archived_products","Has Archived Products","Sales Order","boolean","Base Field","","","True",""
"has_authorized_transaction_ids","Has Authorized Transactions","Sales Order","boolean","Base Field","","","True",""
"has_message","Has Message","Sales Order","boolean","Base Field","","","True",""
"id","ID","Sales Order","integer","Base Field","","True","True",""
"invoice_count","Invoice Count","Sales Order","integer","Base Field","","","True",""
"invoice_ids","Invoices","Sales Order","many2many","Base Field","","","True","account.move"
"invoice_status","Invoice Status","Sales Order","selection","Base Field","","True","True",""
"is_avatax","Is Avatax","Sales Order","boolean","Base Field","","","True",""
"is_expired","Is Expired","Sales Order","boolean","Base Field","","","True",""
"is_pdf_quote_builder_available","Is Pdf Quote Builder Available","Sales Order","boolean","Base Field","","","True",""
"is_tax_computed_externally","Is Tax Computed Externally","Sales Order","boolean","Base Field","","","True",""
"journal_id","Invoicing Journal","Sales Order","many2one","Base Field","","True","","account.journal"
"locked","Locked","Sales Order","boolean","Base Field","","True","",""
"medium_id","Medium","Sales Order","many2one","Base Field","True","True","","utm.medium"
"message_attachment_count","Attachment Count","Sales Order","integer","Base Field","","","True",""
"message_follower_ids","Followers","Sales Order","one2many","Base Field","","True","","mail.followers"
"message_has_error","Message Delivery error","Sales Order","boolean","Base Field","","","True",""
"message_has_error_counter","Number of errors","Sales Order","integer","Base Field","","","True",""
"message_has_sms_error","SMS Delivery error","Sales Order","boolean","Base Field","","","True",""
"message_ids","Messages","Sales Order","one2many","Base Field","","True","","mail.message"
"message_is_follower","Is Follower","Sales Order","boolean","Base Field","","","True",""
"message_needaction","Action Needed","Sales Order","boolean","Base Field","","","True",""
"message_needaction_counter","Number of Actions","Sales Order","integer","Base Field","","","True",""
"message_partner_ids","Followers (Partners)","Sales Order","many2many","Base Field","","","","res.partner"
"my_activity_date_deadline","My Activity Deadline","Sales Order","date","Base Field","","","True",""
"name","Order Reference","Sales Order","char","Base Field","True","True","",""
"note","Terms and conditions","Sales Order","html","Base Field","","True","",""
"opportunity_id","Opportunity","Sales Order","many2one","Base Field","True","True","","crm.lead"
"order_line","Order Lines","Sales Order","one2many","Base Field","","True","","sale.order.line"
"origin","Source Document","Sales Order","char","Base Field","","True","",""
"partner_credit_warning","Partner Credit Warning","Sales Order","text","Base Field","","","True",""
"partner_id","Customer","Sales Order","many2one","Base Field","True","True","","res.partner"
"partner_invoice_id","Invoice Address","Sales Order","many2one","Base Field","True","True","","res.partner"
"partner_shipping_id","Delivery Address","Sales Order","many2one","Base Field","True","True","","res.partner"
"payment_term_id","Payment Terms","Sales Order","many2one","Base Field","","True","","account.payment.term"
"pending_email_template_id","Pending Email Template","Sales Order","many2one","Base Field","","True","True","mail.template"
"preferred_payment_method_line_id","Payment Method","Sales Order","many2one","Base Field","","True","","account.payment.method.line"
"prepayment_percent","Prepayment percentage","Sales Order","float","Base Field","","True","",""
"pricelist_id","Pricelist","Sales Order","many2one","Base Field","","True","","product.pricelist"
"quotation_document_ids","Headers/Footers","Sales Order","many2many","Base Field","","True","","quotation.document"
"reference","Payment Ref.","Sales Order","char","Base Field","","True","",""
"require_payment","Online payment","Sales Order","boolean","Base Field","","True","",""
"require_signature","Online signature","Sales Order","boolean","Base Field","","True","",""
"sale_order_template_id","Quotation Template","Sales Order","many2one","Base Field","","True","","sale.order.template"
"sale_warning_text","Sale Warning","Sales Order","text","Base Field","","","True",""
"show_update_fpos","Has Fiscal Position Changed","Sales Order","boolean","Base Field","","","",""
"show_update_pricelist","Has Pricelist Changed","Sales Order","boolean","Base Field","","","",""
"signature","Signature","Sales Order","binary","Base Field","","True","",""
